Sampling	Condition	SampleID	Taunc	Tacorr	analyte_mass g	file name	CRM type	CRM TA umol_kg-1	Titrant nominal concentration M	Titrant stardized conc M	Titration_batch	Salinity	DIC	analyte_mass	CRM2
12h	3	3.18.3	2.53	2.53	49.6	T40356_20221202_1353_080_Tdata1	SS20221120_2	2342	0.1	0.1015	3	34.35	2029.92	0.0496	2214.54
12h	3	3.18.3	2.526	2.526	49.43	T40356_20221202_1353_080_Tdata3	SS20221120_2	2342	0.1	0.1015	3	34.35	2029.92	0.04943	2214.54
12h	4	4.18.1	2.337	2.337	49.93	T40356_20221202_1409_081_Tdata2	SS20221120_2	2342	0.1	0.1015	3	33.81	2029.92	0.04993	2214.54
12h	4	4.18.1	2.347	2.347	51.65	T40356_20221202_1409_081_Tdata3	SS20221120_2	2342	0.1	0.1015	3	33.81	2029.92	0.05165	2214.54
12h	4	4.18.2	2.359	2.359	50.45	T40356_20221202_1421_082_Tdata1	SS20221120_2	2342	0.1	0.1015	3	34.04	2029.92	0.05045	2214.54
12h	4	4.18.2	2.35	2.35	49.88	T40356_20221202_1421_082_Tdata2	SS20221120_2	2342	0.1	0.1015	3	34.04	2029.92	0.04988	2214.54
12h	4	4.18.3	2.337	2.337	49.76	T40356_20221202_1430_083_Tdata2	SS20221120_2	2342	0.1	0.1015	3	33.25	2029.92	0.04976	2214.54
24h	1	1.24.1	2.43	2.43	50.57	T40356_20221122_1559_058_Tdata1	SS20221120_1	2342	0.1	0.1018	2	33.20	2029.92	0.05057	2214.54
24h	1	1.24.1	2.454	2.454	51.25	T40356_20221122_1559_058_Tdata2	SS20221120_1	2342	0.1	0.1018	2	33.20	2029.92	0.05125	2214.54
24h	1	1.24.2	2.463	2.463	52.06	T40356_20221122_1346_049_Tdata1	SS20221120_1	2342	0.1	0.1018	2	33.68	2029.92	0.05206	2214.54
24h	1	1.24.2	2.463	2.463	49.21	T40356_20221122_1430_050_Tdata1	SS20221120_1	2342	0.1	0.1018	2	33.68	2029.92	0.04921	2214.54
24h	1	1.24.2	2.465	2.465	46.73	T40356_20221122_1430_050_Tdata2	SS20221120_1	2342	0.1	0.1018	2	33.68	2029.92	0.04673	2214.54
24h	1	1.24.3	2.427	2.427	47.17	T40356_20221122_1442_051_Tdata1	SS20221120_1	2342	0.1	0.1018	2	33.04	2029.92	0.04717	2214.54
24h	1	1.24.3	2.428	2.428	47.91	T40356_20221122_1442_051_Tdata2	SS20221120_1	2342	0.1	0.1018	2	33.04	2029.92	0.04791	2214.54
24h	2	2.24.1	2.434	2.434	46.47	T40356_20221122_1453_052_Tdata1	SS20221120_1	2342	0.1	0.1018	2	33.48	2029.92	0.04647	2214.54
24h	2	2.24.1	2.429	2.429	48.36	T40356_20221122_1453_052_Tdata2	SS20221120_1	2342	0.1	0.1018	2	33.48	2029.92	0.04836	2214.54
24h	2	2.24.2	2.47	2.47	49.11	T40356_20221122_1511_053_Tdata2	SS20221120_1	2342	0.1	0.1018	2	33.88	2029.92	0.04911	2214.54
24h	2	2.24.2	2.467	2.467	48.84	T40356_20221122_1511_053_Tdata3	SS20221120_1	2342	0.1	0.1018	2	33.88	2029.92	0.04884	2214.54
